dataset,split,ms_representation,mol_representation,SWD
massspecgym,formula_seed1,unknown,unknown,0.0012715519924726521
massspecgym,formula_seed2,unknown,unknown,0.0014615320666804222
massspecgym,random_seed0,unknown,unknown,0.0002922104343772482
massspecgym,random_seed1,unknown,unknown,0.0002853900811326231
massspecgym,random_seed2,unknown,unknown,0.00030450318916014775
massspecgym,random_seed3,unknown,unknown,0.0003182091619119638
massspecgym,random_seed4,unknown,unknown,0.000299161628840828
massspecgym,murcko_hist_seed1,unknown,unknown,0.007823047569885866
massspecgym,random_seed0,bins,morgan_2_4096,0.00013828661195534317
massspecgym,random_seed1,bins,morgan_2_4096,0.00014227984589673597
massspecgym,random_seed2,bins,morgan_2_4096,0.00014552194560238043
massspecgym,random_seed3,bins,morgan_2_4096,0.0001346395758195777
massspecgym,random_seed4,bins,morgan_2_4096,0.0001346673205096381
massspecgym,inchi_seed0,bins,morgan_2_4096,0.0006529544288871103
massspecgym,inchi_seed1,bins,morgan_2_4096,0.000621277163616135
massspecgym,inchi_seed2,bins,morgan_2_4096,0.0006911426869000828
massspecgym,inchi_seed3,bins,morgan_2_4096,0.0006701288583030446
massspecgym,inchi_seed4,bins,morgan_2_4096,0.0006725324565571973
massspecgym,formula_seed0,bins,morgan_2_4096,0.000764652821001159
massspecgym,formula_seed1,bins,morgan_2_4096,0.000632196590628622
massspecgym,formula_seed2,bins,morgan_2_4096,0.0007519447535456558
massspecgym,formula_seed3,bins,morgan_2_4096,0.000754210403138856
massspecgym,formula_seed4,bins,morgan_2_4096,0.0007035930587259764
massspecgym,murcko_seed0,bins,morgan_2_4096,0.0013470506900776925
massspecgym,murcko_seed1,bins,morgan_2_4096,0.0014630478088051074
massspecgym,murcko_seed2,bins,morgan_2_4096,0.001087957501448349
massspecgym,murcko_seed3,bins,morgan_2_4096,0.0013769828000855325
massspecgym,murcko_seed4,bins,morgan_2_4096,0.0011484560951459167
massspecgym,mces_1,bins,morgan_2_4096,0.0012194054959630757
massspecgym,mces_2,bins,morgan_2_4096,0.0013121549373087574
massspecgym,murcko_hist_seed0,bins,morgan_2_4096,0.003092821293169793
massspecgym,murcko_hist_seed1,bins,morgan_2_4096,0.0024809443710871056
massspecgym,murcko_hist_seed2,bins,morgan_2_4096,0.0012648974535621313
massspecgym,murcko_hist_seed3,bins,morgan_2_4096,0.0022760812662300897
massspecgym,murcko_hist_seed4,bins,morgan_2_4096,0.0014678311580796207
massspecgym,random_seed0,dreams,morgan_2_4096,0.00022826068379126576
massspecgym,random_seed1,dreams,morgan_2_4096,0.00022545558653661572
massspecgym,random_seed2,dreams,morgan_2_4096,0.0002185762469396432
massspecgym,random_seed3,dreams,morgan_2_4096,0.0002361817272890291
massspecgym,random_seed4,dreams,morgan_2_4096,0.00023321130722890875
massspecgym,inchi_seed0,dreams,morgan_2_4096,0.0011169683014866539
massspecgym,inchi_seed1,dreams,morgan_2_4096,0.0011291882379813453
massspecgym,inchi_seed2,dreams,morgan_2_4096,0.0012012396529082943
massspecgym,inchi_seed3,dreams,morgan_2_4096,0.001070925284889131
massspecgym,inchi_seed4,dreams,morgan_2_4096,0.0011822070423034633
massspecgym,formula_seed0,dreams,morgan_2_4096,0.0013135078911340945
massspecgym,formula_seed1,dreams,morgan_2_4096,0.0011704825964137077
massspecgym,formula_seed2,dreams,morgan_2_4096,0.0013787318727898478
massspecgym,formula_seed3,dreams,morgan_2_4096,0.00138948345499817
massspecgym,formula_seed4,dreams,morgan_2_4096,0.0012699740817118783
massspecgym,murcko_seed0,dreams,morgan_2_4096,0.002199474808823324
massspecgym,murcko_seed1,dreams,morgan_2_4096,0.0026162622976870333
massspecgym,murcko_seed2,dreams,morgan_2_4096,0.0019053321443047696
massspecgym,murcko_seed3,dreams,morgan_2_4096,0.002488056791704685
massspecgym,murcko_seed4,dreams,morgan_2_4096,0.0019290422171452828
massspecgym,mces_1,dreams,morgan_2_4096,0.0026075953770553118
massspecgym,mces_2,dreams,morgan_2_4096,0.002849913024203642
massspecgym,murcko_hist_seed0,dreams,morgan_2_4096,0.005062924151474326
massspecgym,murcko_hist_seed1,dreams,morgan_2_4096,0.005563883559893037
massspecgym,murcko_hist_seed2,dreams,morgan_2_4096,0.002235677984424625
massspecgym,murcko_hist_seed3,dreams,morgan_2_4096,0.004475818763875025
massspecgym,murcko_hist_seed4,dreams,morgan_2_4096,0.0028241262376915923
massspecgym,random_seed0,bins,moldeberta_base_123m_mtr,0.0001235809830831772
massspecgym,random_seed1,bins,moldeberta_base_123m_mtr,0.00012426391093804933
massspecgym,random_seed2,bins,moldeberta_base_123m_mtr,0.00011779345666785448
massspecgym,random_seed3,bins,moldeberta_base_123m_mtr,0.00012208052597696828
massspecgym,random_seed4,bins,moldeberta_base_123m_mtr,0.0001195712643027943
massspecgym,inchi_seed0,bins,moldeberta_base_123m_mtr,0.000481207025518816
massspecgym,inchi_seed1,bins,moldeberta_base_123m_mtr,0.0004171084193472911
massspecgym,inchi_seed2,bins,moldeberta_base_123m_mtr,0.0005727535710992282
massspecgym,inchi_seed3,bins,moldeberta_base_123m_mtr,0.0004974766823795753
massspecgym,inchi_seed4,bins,moldeberta_base_123m_mtr,0.00045801650808852687
massspecgym,formula_seed0,bins,moldeberta_base_123m_mtr,0.0006164219637285284
massspecgym,formula_seed1,bins,moldeberta_base_123m_mtr,0.0005281476361513473
massspecgym,formula_seed2,bins,moldeberta_base_123m_mtr,0.0005756978955277051
massspecgym,formula_seed3,bins,moldeberta_base_123m_mtr,0.0005743082421612619
massspecgym,formula_seed4,bins,moldeberta_base_123m_mtr,0.0005304745738345547
massspecgym,murcko_seed0,bins,moldeberta_base_123m_mtr,0.0009051662575609977
massspecgym,murcko_seed1,bins,moldeberta_base_123m_mtr,0.000904175779697328
massspecgym,murcko_seed2,bins,moldeberta_base_123m_mtr,0.000750134120281683
massspecgym,murcko_seed3,bins,moldeberta_base_123m_mtr,0.000953549700657939
